command,mean,stddev,median,user,system,min,max
rvt-info (text),0.007626672926524828,0.0006160533860842541,0.007565238039999999,0.005693135460992905,0.0014079995744680845,0.00673280154,0.01439130054
rvt-info (json),0.0076695081808450674,0.00048154298034030384,0.007590217539999999,0.005729821830985912,0.001416516056338028,0.006671842539999999,0.00989680154
rvt-schema,0.004497017079893612,0.0004702809961041346,0.004455863039999999,0.002698932446808511,0.001319172446808511,0.0036990095399999996,0.01089125954
rvt-history,0.003760198099681696,0.0003600798928287234,0.003717550539999999,0.002074127851458886,0.0012392776657824938,0.0030757585399999988,0.00531742654
rvt-history --partitions,0.019429347878345854,0.001187183389722529,0.019316884540000002,0.01655006616541353,0.002140907669172933,0.018128300540000003,0.031237217540000004
rvt-analyze (text),0.026945099452621347,0.0005781308327727825,0.02692213354,0.023672794174757282,0.0024946749514563123,0.02549959254,0.02830496754
rvt-analyze (json),0.026787996279999997,0.0006008254424747861,0.026741884040000004,0.023587439999999994,0.002423049999999999,0.02564221754,0.02882984254
