class_name,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
AnalyticalPowerDistributableNodeData,,,,,,,,,,0x00ec,0x00f4
AnalyticalReferencePointGridNetTrackerCell,,,,,,,,0x0149,0x0153,0x0166,0x016e
AnalyticalSingleVoltagePropertyData,,,,,,,,,0x00df,,
AnalyticalSlabAdjustmentGStep,,0x0114,0x0116,0x0117,0x011a,0x012d,0x0136,0x0154,0x015e,0x0172,0x017a
AnalyticalSupportCurve,0x0117,0x0116,0x0118,0x0119,0x011d,0x0130,0x0139,0x0157,0x0161,0x0175,0x017d
AnalyticalSurfaceBase,,,,,,,,0x00f1,0x00f2,0x0102,0x010b
AngularDimensionType,0x012b,0x012a,0x012c,0x012d,0x0131,,,,,,
AppearanceAsset,0x0135,0x0134,0x0136,0x0137,0x013b,0x014b,0x0156,0x017d,0x0187,0x019c,
AppearanceAssetElemGroupHelper,0x013b,0x013a,0x013c,0x013d,0x0141,0x0151,0x015c,0x0183,0x018d,0x01a1,
AppearanceAssetTable,0x013d,0x013c,0x013e,0x013f,0x0143,0x0153,0x015e,0x0185,0x018f,0x01a3,
ArcAlignment,0x0141,0x0140,0x0142,0x0143,0x0147,0x0157,0x0162,0x0189,0x0193,0x01a7,
ArcRef,0x0146,0x0145,0x0147,0x0148,0x014c,0x015c,0x0167,0x018e,0x0198,,
ArcWall,0x0149,0x0148,0x014a,0x014b,0x014f,0x015f,0x016a,0x0191,0x019c,,
ArcWallCGDriver,0x014e,0x014d,0x014f,0x0150,0x0154,0x0164,0x016f,0x0196,0x01a1,,
ArcWallRectOpening,0x0154,0x0153,0x0155,0x0156,0x015a,0x016a,0x0175,0x019c,0x01a7,,
ArcWallRectOpeningGStep,,,,,0x015d,0x016d,0x0178,0x019f,0x01aa,,
AreaBasedLoadData,,,,,,,,0x01a4,0x01af,,
AreaLoad,0x0159,0x0158,0x015d,0x015c,0x0162,0x0172,0x017d,0x01a6,0x01b1,,
AreaLoadType,0x015c,0x015b,0x0160,0x015f,0x0165,0x0175,0x0180,0x01a9,0x01b6,,
AreaMeasureCurveData,0x015e,0x015d,0x0162,0x0161,0x0167,0x0177,0x0182,0x01ab,0x01b8,,
AreaReinforcementAssemblyComponentDescriptor,0x0163,0x0162,0x0167,0x0166,0x016c,0x017c,0x0187,0x01b0,,,
AreaReinforcementType,0x0166,0x0165,0x016a,0x0169,0x016f,0x017f,0x018a,0x01b3,,,
AssemblyCodeTable,0x0176,0x0175,0x017a,0x0179,0x017f,0x018f,0x019a,0x01c3,,,
AssemblyGroupMembership,0x0182,0x0181,0x0186,0x0185,0x018b,0x019b,0x01a6,,,,
AssemblyOriginOwnedPointCell,0x0186,0x0185,0x018a,0x0189,0x018f,0x019f,0x01aa,,,,
AssemblyTracker,,0x0188,,,,,,,,,
AtomElementParamFSDO,0x018e,0x018e,0x0192,0x0191,0x0197,0x01a7,0x01b2,,,,
AtomFSDO,0x018f,0x018f,0x0193,0x0192,0x0198,0x01a8,0x01b3,,,,
AttInstUserData,0x0192,0x0192,0x0196,0x0195,0x019b,0x01ab,0x01b6,,,,
AttachmentData,,,,,,,0x01b9,,,,
AutoCamSettingsElem,,,0x0198,0x0197,0x019d,0x01ae,0x01bb,,,,
AutoConnectData,,,,,,0x00d3,,,,,
Bank,0x01a4,0x01a4,0x01a9,0x01a9,0x01af,0x01c0,0x01cd,,,,
BankedConduitRun,0x01a6,0x01a6,0x01ab,0x01ab,0x01b1,0x01c2,,,,,
BankedRun,0x01a7,0x01a7,0x01ac,0x01ac,0x01b2,0x01c3,,,,,
BaseRailingSymPatternHelper,0x01be,0x01bf,0x01ca,0x01ca,0x01d0,,,,,,
BaselineLinearDimState,0x01ca,0x01cb,0x01d6,0x01d6,0x01dc,,,,,,
BaselineOffsetControl,0x01cc,0x01cd,0x01d8,0x01d8,0x01de,,,,,,
